State,City,Turnout,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
California,"San Diego",45000,32.724103,-117.170912,1,place,,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® dataset from the US Census Bureau"
California,"San Francisco",125000,37.776646,-122.417481,1,place,,,,,"San Francisco",CA,"San Francisco County",94101,US,"TIGER/Line® dataset from the US Census Bureau"
California,"San Jose",25000,37.189396,-121.705327,1,place,,,,,"San Jose",CA,"Santa Clara County",95101,US,"TIGER/Line® dataset from the US Census Bureau"
California,"San Luis Obispo",8500,35.265573,-120.62122,1,place,,,,,"San Luis Obispo",CA,"San Luis Obispo County",93401,US,"TIGER/Line® dataset from the US Census Bureau"
California,"San Marcos",6500,33.170778,-117.158674,1,place,,,,,"San Marcos",CA,"San Diego County",92069,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Santa Ana",22500,33.74822,-117.858473,1,place,,,,,"Santa Ana",CA,"Orange County",92701,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Santa Barbara",6000,34.421897,-119.707135,1,place,,,,,"Santa Barbara",CA,"Santa Barbara County",93101,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Santa Cruz",15000,37.052748,-122.111126,1,place,,,,,"Santa Cruz",CA,"Santa Cruz County",95060,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Santa Rosa",5000,38.450412,-122.783159,1,place,,,,,"Santa Rosa",CA,"Sonoma County",95401,US,"TIGER/Line® dataset from the US Census Bureau"
California,Seaside,1750,36.61107,-121.85162,1,place,,,,,Seaside,CA,"Monterey County",93955,US,"TIGER/Line® dataset from the US Census Bureau"
California,Sonoma,3000,38.255943,-122.476819,1,place,,,,,Sonoma,CA,"Sonoma County",95476,US,"TIGER/Line® dataset from the US Census Bureau"
California,"South Lake Tahoe",600,38.927507,-120.039632,1,place,,,,,"South Lake Tahoe",CA,"El Dorado County",96150,US,"TIGER/Line® dataset from the US Census Bureau"
California,Ukiah,2000,39.15017,-123.20778,1,place,,,,,Ukiah,CA,"Mendocino County",95482,US,"TIGER/Line® dataset from the US Census Bureau"
California,Vallejo,40,38.18735,-122.224074,1,place,,,,,Vallejo,CA,"Solano County",94589,US,"TIGER/Line® dataset from the US Census Bureau"
California,Ventura,2500,34.330829,-119.358352,1,place,,,,,Ventura,CA,"Ventura County",93001,US,"TIGER/Line® dataset from the US Census Bureau"
California,Visalia,500,36.303793,-119.375646,1,place,,,,,Visalia,CA,"Tulare County",93277,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Walnut Creek",10000,37.873343,-122.070625,1,place,,,,,"Walnut Creek",CA,"Contra Costa County",94595,US,"TIGER/Line® dataset from the US Census Bureau"
California,Watsonville,400,36.98025,-121.74696,1,place,,,,,Watsonville,CA,"Santa Cruz County",95076,US,"TIGER/Line® dataset from the US Census Bureau"
California,Willits,60,39.525958,-123.36573,1,place,,,,,Willits,CA,"Mendocino County",95490,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Yucca Valley",100,34.185894,-116.432416,1,place,,,,,"Yucca Valley",CA,"San Bernardino County",92284,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Alamosa,350,37.479933,-105.790967,1,place,,,,,Alamosa,CO,"Alamosa County",81101,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Aspen,750,39.169324,-106.776744,1,place,,,,,Aspen,CO,"Pitkin County",81611,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Broomfield,200,39.930782,-105.074287,0.9,place,,,,,Broomfield,CO,"Adams County",80020,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Carbondale,250,39.40221,-107.21116,1,place,,,,,Carbondale,CO,"Garfield County",81623,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,"Colorado Springs",7000,38.828893,-104.809929,1,place,,,,,"Colorado Springs",CO,"El Paso County",80903,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Cortez,452,37.373594,-108.662826,1,place,,,,,Cortez,CO,"Montezuma County",81321,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,"Crested Butte",375,38.880713,-106.94868,1,place,,,,,"Crested Butte",CO,"Gunnison County",81224,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Denver,150000,39.760189,-104.996553,1,place,,,,,Denver,CO,"Denver County",80202,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Durango,100,37.318364,-107.880367,1,place,,,,,Durango,CO,"La Plata County",81301,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,"Glenwood Springs",100,39.601448,-107.304314,1,place,,,,,"Glenwood Springs",CO,"Garfield County",81601,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,"Grand Junction",1000,39.069019,-108.583126,1,place,,,,,"Grand Junction",CO,"Mesa County",81501,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Lafayette,89,40.026334,-105.104899,1,place,,,,,Lafayette,CO,"Boulder County",80026,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Ridgway,50,38.177464,-107.72736,1,place,,,,,Ridgway,CO,"Ouray County",81432,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Silverton,33,37.848391,-107.680381,1,place,,,,,Silverton,CO,"San Juan County",81433,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,"Steamboat Springs",1000,40.486391,-106.829354,1,place,,,,,"Steamboat Springs",CO,"Routt County",80477,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Telluride,600,37.93749,-107.81229,1,place,,,,,Telluride,CO,"San Miguel County",81435,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,"East Haddam",300,41.475478,-72.389729,1,place,,,,,"East Haddam",CT,"Middlesex County",06423,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,Hartford,10000,41.78007,-72.677099,1,place,,,,,Hartford,CT,"Hartford County",06101,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,"New Haven",200,41.365709,-72.927507,1,place,,,,,"New Haven",CT,"New Haven County",06501,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,"Old Saybrook",1000,41.300448,-72.389129,1,place,,,,,"Old Saybrook",CT,"Middlesex County",06475,US,"TIGER/Line® dataset from the US Census Bureau"
